file_name,file_size,statuss_created_time,s_modified_time,s_mft_modified_time,s_last_accessed_time,f_created_time,f_modified_time,f_mft_modified_time,f_last_accessed_time,file_full_path
.gitignore,638.0B,In use,2020-02-04 18:34:03.669060,2019-09-16 16:51:11.000000,2020-02-04 18:34:05.138314,2020-02-04 18:34:03.698042,2020-02-04 18:34:03.669060,2020-02-04 18:34:03.669060,2020-02-04 18:34:03.669060,2020-02-04 18:34:03.669060,./tools/plaso-master/.gitignore
psutil,0,In use directory,2020-02-04 18:37:51.852974,2020-02-04 18:37:51.863956,2020-02-04 18:37:51.863956,2020-02-04 18:40:19.354236,2020-02-04 18:37:51.852974,2020-02-04 18:37:51.852974,2020-02-04 18:37:51.852974,2020-02-04 18:37:51.852974,./tools/psutil
_psutil_windows.cp37-win_amd64.pyd,75.5KB,In use,2020-02-04 18:37:51.863956,2019-07-13 02:58:48.000000,2020-02-04 18:37:54.507622,2020-02-04 18:37:51.918926,2020-02-04 18:37:51.863956,2020-02-04 18:37:51.863956,2020-02-04 18:37:51.863956,2020-02-04 18:37:51.863956,./tools/psutil/_psutil_windows.cp37-win_amd64.pyd
Crypto,0,In use directory,2020-02-04 18:37:55.042884,2020-02-04 18:37:55.075870,2020-02-04 18:37:55.075870,2020-02-04 18:40:19.341236,2020-02-04 18:37:55.042884,2020-02-04 18:37:55.042884,2020-02-04 18:37:55.042884,2020-02-04 18:37:55.042884,./tools/Crypto
Cipher,0,In use directory,2020-02-04 18:37:55.075870,2020-02-04 18:37:58.273886,2020-02-04 18:37:58.273886,2020-02-04 18:40:19.341236,2020-02-04 18:37:55.075870,2020-02-04 18:37:55.075870,2020-02-04 18:37:55.075870,2020-02-04 18:37:55.075870,./tools/Crypto/Cipher
AUTHORS,2.1KB,In use,2020-02-04 18:34:13.529558,2019-09-16 16:51:11.000000,2020-02-04 18:34:16.437416,2020-02-04 18:34:14.985282,2020-02-04 18:34:13.529558,2020-02-04 18:34:13.529558,2020-02-04 18:34:13.529558,2020-02-04 18:34:13.529558,./tools/plaso-master/AUTHORS
config,0,In use directory,2020-02-04 18:34:16.456404,2020-02-04 18:34:43.337310,2020-02-04 18:34:43.337310,2020-02-04 18:36:16.436622,2020-02-04 18:34:16.456404,2020-02-04 18:34:16.456404,2020-02-04 18:34:16.456404,2020-02-04 18:34:16.456404,./tools/plaso-master/config
docker,0,In use directory,2020-02-04 18:34:16.471396,2020-02-04 18:34:18.035194,2020-02-04 18:34:18.035194,2020-02-04 18:36:16.437622,2020-02-04 18:34:16.471396,2020-02-04 18:34:16.471396,2020-02-04 18:34:16.471396,2020-02-04 18:34:16.471396,./tools/plaso-master/config/docker
Dockerfile,1.0KB,In use,2020-02-04 18:34:16.492382,2019-09-16 16:51:11.000000,2020-02-04 18:34:18.021202,2020-02-04 18:34:16.583332,2020-02-04 18:34:16.492382,2020-02-04 18:34:16.492382,2020-02-04 18:34:16.492382,2020-02-04 18:34:16.492382,./tools/plaso-master/config/docker/Dockerfile
plaso-switch.sh,1004.0B,In use,2020-02-04 18:34:18.035194,2019-09-16 16:51:11.000000,2020-02-04 18:34:19.526154,2020-02-04 18:34:18.097176,2020-02-04 18:34:18.035194,2020-02-04 18:34:18.035194,2020-02-04 18:34:18.035194,2020-02-04 18:34:18.035194,./tools/plaso-master/config/docker/plaso-switch.sh
dpkg,0,In use directory,2020-02-04 18:34:19.543126,2020-02-04 18:34:40.326374,2020-02-04 18:34:40.326374,2020-02-04 18:36:16.438624,2020-02-04 18:34:19.543126,2020-02-04 18:34:19.543126,2020-02-04 18:34:19.543126,2020-02-04 18:34:19.543126,./tools/plaso-master/config/dpkg
changelog,167.0B,In use,2020-02-04 18:34:19.555118,2019-09-16 16:51:11.000000,2020-02-04 18:34:21.037304,2020-02-04 18:34:19.597094,2020-02-04 18:34:19.555118,2020-02-04 18:34:19.555118,2020-02-04 18:34:19.555118,2020-02-04 18:34:19.555118,./tools/plaso-master/config/dpkg/changelog
clean,48.0B,In use,2020-02-04 18:34:21.056292,2019-09-16 16:51:11.000000,2020-02-04 18:34:23.976156,2020-02-04 18:34:21.124254,2020-02-04 18:34:21.056292,2020-02-04 18:34:21.056292,2020-02-04 18:34:21.056292,2020-02-04 18:34:21.056292,./tools/plaso-master/config/dpkg/clean
